,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1950,-0.13,-0.39,-0.44,-0.25,-0.16,-0.39,-0.17,-0.11,-0.12,-0.13,-0.17,0.07
1951,-0.01,0.38,0.31,-0.32,-0.02,-0.17,-0.05,0,0.46,0.23,0.25,0.24
1952,0.28,0.43,0.2,0.39,0.05,-0.04,-0.07,-0.13,-0.09,-0.34,-0.06,0.12
1953,0.2,0.15,0.23,-0.01,0.41,0.15,0.05,0.05,0.27,0.14,0.11,0.1
1954,-0.4,-0.17,-0.33,0.28,0,-0.25,-0.35,-0.24,-0.4,-0.54,-0.15,-0.06
1955,-0.24,-0.23,-0.19,-0.03,-0.64,-0.53,-0.31,-0.07,-0.53,-0.61,-0.26,-0.1
1956,0.07,0.08,-0.29,-0.29,-0.65,-0.49,-0.55,-0.16,-0.17,-0.28,-0.26,-0.04
1957,-0.2,-0.22,-0.16,-0.16,-0.03,-0.29,-0.38,-0.21,0.07,0.21,-0.4,-0.21
1958,-0.02,-0.09,-0.21,-0.14,-0.15,-0.32,-0.5,-0.53,-0.54,-0.19,0.01,0.07
1959,0.46,0.01,-0.17,0.06,-0.31,-0.29,-0.02,0.04,0.13,-0.09,-0.21,-0.31
1960,-0.24,0.04,-0.15,-0.42,-0.55,-0.12,-0.09,-0.39,-0.29,-0.41,-0.54,-0.48
1961,-0.25,-0.11,0.1,-0.05,-0.14,0.34,0.95,1.07,1.13,1.32,0.68,0.36
1962,0.44,0.48,0.19,0.23,0.03,-0.06,-0.06,0.02,0.09,0.03,0.07,0.09
1963,0.22,0.19,0.13,0.09,-0.2,0.18,0.54,0.66,0.48,1,0.6,0.17
1964,-0.28,-0.68,-0.1,-0.01,-0.07,0.09,-0.3,-0.36,-0.65,-0.55,0.02,0.1
1965,0.1,-0.14,0.23,0.02,0.11,-0.01,-0.06,0.14,0.05,0.3,0.07,-0.19
1966,-0.04,-0.1,-0.23,-0.11,-0.04,0.45,0.38,0.42,0.27,-0.2,-0.29,-0.06
1967,-0.38,-0.21,0.23,0.03,0.51,0.58,0.68,0.48,0.79,0.81,0.49,0.29
1968,0.28,0.42,-0.07,0.11,0.42,0.44,0.14,-0.13,-0.37,0.01,-0.09,0.01
1969,-0.24,-0.36,-0.14,0.19,0.27,-0.1,-0.2,-0.44,-0.05,0.36,0.36,0.22
1970,0.32,0.24,0.07,0.37,0.51,-0.06,0.03,-0.13,-0.26,-0.35,-0.05,0.03
1971,0.01,-0.03,0.26,0.33,0.2,0.18,0.07,-0.45,-0.28,-0.44,0.12,0.3
1972,0.23,-0.19,0.09,0.08,0.47,0.96,0.79,0.76,1,0.77,0.85,0.33
1973,0.19,-0.04,-0.03,-0.2,0.27,0.03,-0.23,-0.48,-0.5,-0.31,-0.19,-0.15
1974,0.04,0.28,0.33,-0.06,0.03,0.34,0.12,-0.31,-0.49,-0.59,-0.15,-0.27
1975,-0.52,-0.17,-0.56,-0.23,-0.02,0.23,0.23,-0.24,-0.7,-0.87,-0.45,-0.12
1976,0.01,0.17,0.13,-0.06,0.2,0.45,0.66,0.24,0.21,0.09,-0.12,0.12
1977,-0.06,-0.12,0.25,-0.14,-0.25,-0.1,0.07,0.08,0.14,0.64,0.2,-0.09
1978,-0.62,-0.36,-0.46,-0.14,-0.26,0.01,0.15,-0.03,0.21,-0.05,-0.27,-0.33
1979,0.17,-0.17,-0.17,-0.07,0.15,0.19,-0.14,-0.05,-0.13,-0.54,-0.55,0
1980,-0.19,-0.11,-0.32,0.19,0.29,-0.53,-0.56,-0.3,-0.35,-0.12,-0.18,-0.17
1981,-0.06,0.09,-0.14,0.22,0.14,-0.36,-0.47,-0.31,-0.4,-0.24,-0.14,-0.18
1982,0.16,0.21,0.23,0.14,0.31,0.24,0.32,0.55,0.68,0.98,0.56,-0.11
1983,-0.3,-0.46,-0.78,-0.75,-0.19,0.23,0.42,0.45,0.15,0.01,-0.04,-0.03
1984,-0.15,-0.03,0.11,0.14,-0.56,-0.68,-0.68,-0.55,-0.43,-0.58,-0.53,-0.21
1985,-0.36,-0.49,-0.24,-0.29,-0.31,-0.99,-0.87,-0.45,-0.19,-0.2,-0.14,-0.36
1986,-0.09,0.27,0.37,0.02,0.12,-0.14,-0.54,-0.1,0.05,0.32,0.15,-0.34
1987,-0.12,-0.16,-0.35,-0.43,0.02,-0.35,-0.22,0.37,0.4,0.36,0.05,0.21
1988,0.58,0.34,0.14,0.14,-0.63,-0.37,-0.14,0.05,-0.26,-0.43,-0.14,0.2
1989,-0.37,-0.04,-0.14,-0.17,-0.49,-0.65,-0.19,-0.44,-0.29,-0.43,-0.33,-0.14
1990,0.46,0.18,0.19,-0.05,-0.33,-0.2,-0.18,-0.31,-0.28,-0.35,-0.23,-0.01
1991,0.18,0.28,0.32,0.7,0.61,0.13,-0.06,0.13,0.52,0.37,0.28,0.23
1992,-0.46,-0.45,-0.48,-0.54,-0.41,-0.49,-0.46,-0.31,-0.56,-0.37,0.21,0.31
1993,0.22,0.33,0.11,0.05,0.34,0.44,0.03,-0.12,-0.14,0.01,-0.01,0.06
1994,0.22,-0.22,0.44,0.45,0.44,0.5,0.86,1.31,1.24,1.36,0.17,0.04
1995,0.14,0.73,0.52,-0.06,-0.41,-0.04,-0.58,-0.65,-0.3,-0.28,-0.28,0.21
1996,0.46,0.33,-0.03,-0.29,-0.23,-0.32,-0.43,-0.6,-0.51,-0.88,-0.57,-0.18
1997,0.11,0.34,0.42,0.21,0.14,0.53,0.83,0.82,1.15,1.49,1.65,1.12
1998,0.68,0.39,0.13,0.07,0.18,0.12,-0.56,-0.54,-0.5,-0.75,-0.36,-0.24
1999,-0.33,-0.06,0.23,0.03,-0.39,-0.13,0.29,0.19,0.01,-0.45,-0.26,0.07
2000,0.02,0.4,0.59,0.27,0.15,0.09,0.32,0.4,0.11,-0.08,0.16,0.12
2001,0.25,0.36,0.4,0.13,0.02,0.09,-0.26,-0.21,-0.29,-0.4,0.18,-0.09
2002,-0.23,-0.21,-0.25,-0.26,-0.28,-0.04,-0.19,-0.18,0.54,0.47,0.07,-0.41
2003,-0.51,-0.11,0.08,0.09,0.36,0.64,0.6,0.46,-0.02,-0.21,-0.07,0.07
2004,-0.26,-0.3,-0.02,-0.09,-0.4,-0.33,-0.12,0,0.14,0.19,-0.07,-0.24
2005,-0.34,-1.04,-0.96,-0.1,0.18,0.01,-0.29,-0.28,-0.71,-0.43,-0.21,-0.26
2006,0.14,-0.31,-0.02,0.29,0.15,0.2,0.19,0.36,0.33,0.94,0.8,0.21
2007,0.22,-0.01,0.17,0.28,0.5,0.37,0.51,0.58,0.44,0.35,0.03,-0.17
2008,-0.17,-0.32,-0.02,-0.29,0.18,0.3,0.35,0.13,-0.05,0.13,0.12,0.1
2009,0.05,0.41,0.45,0.24,0.28,0.19,-0.23,-0.15,-0.17,0.03,-0.13,0.25
2010,0.26,-0.17,0.14,0.29,-0.35,-0.17,-0.22,-0.41,-0.91,-1.02,-0.25,-0.26
2011,0.08,-0.01,0.08,0.05,-0.12,-0.01,0.07,0.32,0.47,0.61,0.13,-0.07
2012,0.15,-0.13,-0.12,-0.33,-0.07,0.11,0.89,0.92,0.69,0.3,0.19,0.09
2013,-0.19,-0.21,-0.34,-0.34,-0.2,-0.41,-0.31,-0.37,-0.4,-0.09,0.3,-0.11
2014,0.01,-0.2,-0.6,-0.14,0.02,-0.19,-0.32,-0.66,-0.3,0.01,0.02,-0.13
2015,-0.24,-0.16,-0.35,0.25,0.59,0.25,-0.01,0.63,1.01,0.82,0.43,-0.05
2016,-0.6,-0.12,-0.09,-0.17,-0.44,-0.82,-1.34,-0.86,-1.29,-0.81,-0.31,0.21
2017,0.27,0.61,0.2,0.54,0.52,0.5,0.64,0.92,0.19,0.09,0.12,-0.36
2018,0.01,0.6,-0.25,0.04,0.35,-0.17,0.1,0.35,0.79,0.43,0.43,0.69
2019,0.27,-0.32,-0.09,-0.09,0.89,1.12,0.84,0.87,1.19,1.94,1.42,0.67
2020,0.31,0.07,-0.16,-0.32,0.13,0.32,0.13,-0.74,-0.91,-0.33,-0.55,-0.1
2021,-0.32,0,0.03,0.24,-0.63,-0.81,-0.76,-0.76,-0.79,-0.9,-0.6,-0.33
2022,-0.42,-0.62,-0.14,-0.38,-0.55,-0.7,-1.3,-1.34,-1.31,-1.34,-0.36,0.09
2023,0.39,0.34,0.7,0.09,-0.25,0,0.31,0.97,1.35,1.82,1.51,1.15
2024,0.66,0.06,0.36,0.13,0.11,-0.25,-0.29,0.09,-0.06,-0.96,-0.81,-0.62
2025,-0.51,0.43,0.11,0,-0.28,-0.43,-0.23,-1.37,-1.36,-1.88,-1.02,-0.35
2026,0.07,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9